# HELP DCGM_FI_DEV_GPU_UTIL GPU utilization (in %).
# TYPE DCGM_FI_DEV_GPU_UTIL gauge
DCGM_FI_DEV_GPU_UTIL{gpu="0",UUID="GPU-aaaa-bbbb-cccc",device="nvidia0",modelName="NVIDIA A100-SXM4-80GB",Hostname="gpu-node-1",DCGM_FI_DRIVER_VERSION="535.104.12",container="trainer",namespace="ml",pod="train-job-abc"} 78
DCGM_FI_DEV_GPU_UTIL{gpu="1",UUID="GPU-dddd-eeee-ffff",device="nvidia1",modelName="NVIDIA A100-SXM4-80GB",Hostname="gpu-node-1",DCGM_FI_DRIVER_VERSION="535.104.12",container="",namespace="",pod=""} 22
# HELP DCGM_FI_PROF_GR_ENGINE_ACTIVE Ratio of time the graphics engine is active.
# TYPE DCGM_FI_PROF_GR_ENGINE_ACTIVE gauge
DCGM_FI_PROF_GR_ENGINE_ACTIVE{gpu="1",UUID="GPU-dddd-eeee-ffff",device="nvidia1",modelName="NVIDIA A100-SXM4-80GB",Hostname="gpu-node-1",DCGM_FI_DRIVER_VERSION="535.104.12",container_name="model",pod_namespace="serving",pod_name="inference-xyz"} 0.65
# HELP DCGM_FI_DEV_FB_USED Framebuffer memory used (in MiB).
# TYPE DCGM_FI_DEV_FB_USED gauge
DCGM_FI_DEV_FB_USED{gpu="0",UUID="GPU-aaaa-bbbb-cccc",device="nvidia0",modelName="NVIDIA A100-SXM4-80GB",Hostname="gpu-node-1",DCGM_FI_DRIVER_VERSION="535.104.12",container="trainer",namespace="ml",pod="train-job-abc"} 40960
DCGM_FI_DEV_FB_USED{gpu="1",UUID="GPU-dddd-eeee-ffff",device="nvidia1",modelName="NVIDIA A100-SXM4-80GB",Hostname="gpu-node-1",DCGM_FI_DRIVER_VERSION="535.104.12",container_name="model",pod_namespace="serving",pod_name="inference-xyz"} 16384
# HELP DCGM_FI_DEV_FB_FREE Framebuffer memory free (in MiB).
# TYPE DCGM_FI_DEV_FB_FREE gauge
DCGM_FI_DEV_FB_FREE{gpu="0",UUID="GPU-aaaa-bbbb-cccc",device="nvidia0",modelName="NVIDIA A100-SXM4-80GB",Hostname="gpu-node-1",DCGM_FI_DRIVER_VERSION="535.104.12",container="trainer",namespace="ml",pod="train-job-abc"} 40960
DCGM_FI_DEV_FB_FREE{gpu="1",UUID="GPU-dddd-eeee-ffff",device="nvidia1",modelName="NVIDIA A100-SXM4-80GB",Hostname="gpu-node-1",DCGM_FI_DRIVER_VERSION="535.104.12",container_name="model",pod_namespace="serving",pod_name="inference-xyz"} 65536
# HELP DCGM_FI_DEV_FB_TOTAL Total framebuffer memory (in MiB).
# TYPE DCGM_FI_DEV_FB_TOTAL gauge
DCGM_FI_DEV_FB_TOTAL{gpu="0",UUID="GPU-aaaa-bbbb-cccc",device="nvidia0",modelName="NVIDIA A100-SXM4-80GB",Hostname="gpu-node-1",DCGM_FI_DRIVER_VERSION="535.104.12",container="trainer",namespace="ml",pod="train-job-abc"} 81920
